,date_local,county_code,site_number,parameter,sample_duration,pollutant_standard,validity_indicator,arithmetic_mean,first_max_value,aqi,local_site_name,state
1488,5/19/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.65,14.5,13,IS 52,New York
1490,5/18/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.054167,18.3,17,IS 52,New York
1492,5/17/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,6.4375,10.9,9,IS 52,New York
1494,5/16/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.5375,29.6,27,IS 52,New York
1496,5/15/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.925,26.9,25,IS 52,New York
1498,5/14/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,19.870832999999998,45.9,42,IS 52,New York
1500,5/13/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.9,42.3,40,IS 52,New York
1502,5/12/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,7.3875,12.7,11,IS 52,New York
1504,5/11/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,14.25,38.1,36,IS 52,New York
1506,5/10/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,8.920833,15.9,14,IS 52,New York
1508,5/9/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,6.133333,12.4,11,IS 52,New York
1510,5/8/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,12.758333,20.3,19,IS 52,New York
1512,5/7/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,9.633333,21.0,20,IS 52,New York
1514,5/6/2020,5,110,Nitrogen dioxide (NO2),1 HOUR,NO2 1-hour,Y,13.05,24.4,23,IS 52,New York
